server_config,arrival_pattern,target_rate_rps,success_count,error_count,mean_prompt_tokens,mean_output_tokens,arrival_window_s,run_wall_s,realized_submit_rate_rps,achieved_request_rate_rps,output_throughput_tok_s,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,e2e_p50_ms,e2e_p95_ms,slo_ttft_ms,slo_tpot_ms,slo_pass_count,slo_attainment_pct,goodput_request_rps,goodput_output_tok_s,client_lag_p95_ms,queue_mean,queue_p95,queue_max,running_max,kv_usage_max,preemptions,max_num_seqs,gpu_mem_util,chunked_prefill
memory50,poisson,2.0,48.0,0.0,1262.6666666666665,95.0,23.5,24.816898080520332,2.0000073682627844,1.9350090489966718,183.62391004078052,250.38725277408957,978.8341094739735,16.711260442885454,33.59906720572394,1785.8932120725513,5550.705991173161,1000.0,100.0,44.5,92.70833333333334,1.7960182809854908,165.7253852746009,1.1818686965852976,0.0088148493320907,0.0,1.0,12.0,0.2115826702033598,0.0,64.0,0.5,True
memory50,poisson,3.0,48.0,0.0,1262.6666666666665,95.0,15.666666666666666,17.645776658318937,3.0000409353044644,2.730659880747145,258.56757293239616,399.51066533103585,1155.238512530923,24.418874010552965,51.640448703857984,2483.5627381689847,6909.370165644214,1000.0,100.0,42.5,88.54166666666666,2.4300963739325323,225.6218680432863,1.138742407783866,0.05018359853121175,0.0,2.0,18.5,0.32705570291777186,0.0,64.0,0.5,True
memory50,poisson,4.0,48.0,0.0,1262.6666666666665,95.0,11.75,14.720669341273606,4.000134765338707,3.2912416276139433,311.0832638910101,537.0861920528114,1273.6927293241024,33.597456681260525,64.75969045525741,3318.4198392555118,8737.875786889343,1000.0,100.0,36.5,76.04166666666667,2.5588394511009094,237.7333254701151,1.6798863653093572,0.18387239698715105,1.0,2.0,25.0,0.4172413793103448,0.0,64.0,0.5,True
memory50,poisson,6.0,48.0,0.0,1262.6666666666665,95.0,7.833333333333333,12.928978722542524,6.00045885732293,3.7604853700945036,355.1241476265251,1089.7670635022223,2139.360810443759,60.62487419310164,177.20887980350426,6596.43962373957,9972.948480816558,1000.0,100.0,16.0,33.333333333333336,1.3330687183318137,145.1815531609809,1.3406212907284498,1.154004329004329,5.799999999999997,6.5,43.5,0.6582670203359859,0.0,64.0,0.5,True
no_chunk,bursty,0.5,48.0,0.0,1262.6666666666665,95.0,94.0,97.4910745844245,0.49998700030170323,0.49241433426615955,46.751830741700516,996.4045388624072,1589.5552273839712,14.261793571032001,40.838159055959785,2283.7789854966104,4430.63327264972,1000.0,100.0,24.0,50.0,0.2473542926991065,22.08994777764855,3.7133307196199885,0.10322556695634225,0.0,4.5,8.0,0.05122628971849695,0.0,64.0,0.9,False
no_chunk,bursty,1.0,48.0,0.0,1262.6666666666665,95.0,47.0,50.478185071609914,0.9999469254754454,0.9513597212091106,90.27527179234625,1039.1044435091317,1716.9209904503077,14.657584907984276,39.2475528403386,2270.84447350353,4431.682336330414,1000.0,100.0,24.5,51.04166666666667,0.49013555806070147,44.12273981368588,4.155996348708867,0.2181455082874995,2.0,4.5,8.0,0.05122628971849695,0.0,64.0,0.9,False
no_chunk,bursty,2.0,48.0,0.0,1262.6666666666665,95.0,23.5,26.99424486514181,1.9997401341853842,1.7811608021939636,168.8445367030282,1009.0220719575882,1743.5503968503326,15.59619222068086,35.310035073749155,2288.873951882124,5153.4893850795925,1000.0,100.0,22.5,46.875,0.8448245709662912,80.4362906442863,3.9396037347614765,0.38948267086965793,2.5,4.0,9.0,0.05170955660263375,0.0,64.0,0.9,False
no_chunk,bursty,3.0,48.0,0.0,1262.6666666666665,95.0,15.666666666666666,19.214881975203753,2.9994410186826252,2.5069799078398995,237.4155512027259,1032.219560816884,1776.6315391287208,16.7464849549228,34.12772507185508,2307.140663266182,6004.695455171168,1000.0,100.0,21.5,44.79166666666667,1.1431639598592023,105.99086016853599,3.410883154720068,0.6168132942326491,4.0,5.5,11.0,0.0765978011356771,0.0,64.0,0.9,False
no_chunk,bursty,4.0,48.0,0.0,1262.6666666666665,95.0,11.75,15.624736252240837,3.999142471076028,3.086553445700462,292.16475017830305,958.8639894500375,1747.1853454597292,28.52011096772547,42.71528025651784,3086.04705799371,8250.740253366526,1000.0,100.0,21.5,44.79166666666667,1.4287986692784518,146.5779459911329,3.533289534971118,0.8361835962455157,4.5,5.5,17.5,0.10804035278482535,0.0,64.0,0.9,False
no_chunk,bursty,6.0,48.0,0.0,1262.6666666666665,95.0,7.833333333333333,12.992279221303761,5.998191961442816,3.722214310998956,352.0044983295528,1176.9041130319238,1904.3296413030475,58.8394314386025,143.8998249417845,6077.4363768287,9914.233098132534,1000.0,100.0,15.0,31.25,1.2100295909681555,123.45626107197228,3.781054401770233,1.2168053481260226,5.5,5.5,39.5,0.2011900447021868,0.0,64.0,0.9,False
