server_config,arrival_pattern,target_rate_rps,repeat,sample_offset_s,running,waiting,kv_usage,preemptions
baseline,poisson,0.5,0,27.300401808694005,1.0,0.0,0.0026579678627521863,0.0
baseline,poisson,0.5,0,27.41194306500256,1.0,0.0,0.0027183762232693143,0.0
baseline,poisson,0.5,0,27.51957923732698,2.0,0.0,0.004711852120333426,0.0
baseline,poisson,0.5,0,27.629338901489973,2.0,0.0,0.004772260480850554,0.0
baseline,poisson,0.5,0,27.73756144940853,2.0,0.0,0.004832668841367682,0.0
baseline,poisson,0.5,0,27.84772865474224,2.0,0.0,0.004893077201884699,0.0
baseline,poisson,0.5,0,27.95773918926716,2.0,0.0,0.005013893922918955,0.0
baseline,poisson,0.5,0,28.069283064454794,2.0,0.0,0.005013893922918955,0.0
baseline,poisson,0.5,0,28.179892783984542,1.0,0.0,0.002174700978615496,0.0
baseline,poisson,0.5,0,28.290779734030366,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,28.400036592036486,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,28.50525091588497,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,28.61107961833477,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,28.7169391810894,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,28.826270258054137,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,28.93556561693549,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,29.04481342434883,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,29.15408081188798,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,29.260671690106392,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,29.36951352469623,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,29.47893355600536,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,29.586653422564268,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,29.695939199998975,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,29.805219870060682,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,29.913963615894318,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,30.02324391528964,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,30.13248378224671,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,30.24087629467249,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,30.347488041967154,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,30.45861542597413,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,30.56813701801002,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,30.6773215662688,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,30.787763487547636,1.0,0.0,0.007792678506705286,0.0
baseline,poisson,0.5,0,30.898070335388184,1.0,0.0,0.007792678506705286,0.0
baseline,poisson,0.5,0,31.003747465088964,1.0,0.0,0.007853086867222414,0.0
baseline,poisson,0.5,0,31.11393970064819,1.0,0.0,0.007913495227739542,0.0
baseline,poisson,0.5,0,31.221234714612365,1.0,0.0,0.007913495227739542,0.0
baseline,poisson,0.5,0,31.332255328074098,1.0,0.0,0.00797390358825667,0.0
baseline,poisson,0.5,0,31.44182676076889,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,31.550459465011954,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,31.656228307634592,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,31.765507467091084,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,31.874829357489944,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,31.984132036566734,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,32.09339986927807,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,32.204090408980846,0.0,0.0,0.0,0.0
baseline,poisson,0.5,0,32.31386921368539,1.0,0.0,0.015464540292376427,0.0
