server_config,arrival_pattern,target_rate_rps,repeat,request_count,success_count,error_count,mean_prompt_tokens,mean_output_tokens,arrival_window_s,run_wall_s,realized_submit_rate_rps,achieved_request_rate_rps,output_throughput_tok_s,ttft_p50_ms,ttft_p95_ms,tpot_p50_ms,tpot_p95_ms,e2e_p50_ms,e2e_p95_ms,slo_ttft_ms,slo_tpot_ms,slo_pass_count,slo_attainment_pct,goodput_request_rps,goodput_output_tok_s,client_lag_p95_ms,queue_mean,queue_p95,queue_max,running_max,kv_usage_max,preemptions,max_num_seqs,gpu_mem_util,chunked_prefill,model,gpu_name,vllm_version,torch_version,timestamp
baseline,bursty,6.0,0,48,48,0,1493.3333333333333,100.0,7.833333333333333,14.051820179447532,5.997724744359857,3.415927572871004,341.59275728710037,1325.4837803542614,2110.8998592942953,75.70301114014026,180.5086561698987,8017.105248756707,12186.41365263611,1000.0,100.0,10,20.833333333333332,0.7116515776814591,118.4188225261948,3.7637388333678246,1.4031007751937985,5.0,5.0,48.0,0.2744955901896823,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:38:49+00:00
baseline,bursty,6.0,1,48,48,0,1032.0,90.0,7.833333333333333,11.87545808032155,5.998379140600223,4.0419493442142915,363.77544097928626,879.1466075927019,1714.2100566066802,40.659374374104296,87.3742636984154,4120.54633628577,7609.511794336138,1000.0,100.0,25,52.083333333333336,2.1051819501116102,191.31893562614314,3.1272873282432556,1.146788990825688,5.599999999999994,6.0,30.0,0.12788449921469136,0.0,64,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:39:02+00:00
seq16,poisson,0.5,0,48,48,0,1493.3333333333333,100.0,94.0,94.36914985999465,0.5000065883419657,0.5086408012704622,50.864080127046215,253.13105899840593,639.4811746664344,11.926037690364847,16.200304466804077,1264.7566171362996,3663.8202193193133,1000.0,100.0,48,100.0,0.5086408012704622,50.864080127046215,1.4363866299390788,0.0,0.0,0.0,4.0,0.032732838808430476,0.0,16,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:41:27+00:00
seq16,poisson,0.5,1,48,48,0,1032.0,90.0,94.0,94.7782938554883,0.49999879750692516,0.5064450735227123,45.5800566170441,90.42969066649675,510.61088861897565,11.93287498219488,14.168824281884369,973.3990980312228,3263.3480787277213,1000.0,100.0,48,100.0,0.5064450735227123,45.5800566170441,1.893436163663864,0.0,0.0,0.0,4.0,0.03108442246555987,0.0,16,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:43:02+00:00
seq16,poisson,1.0,0,48,48,0,1493.3333333333333,100.0,47.0,47.366117203608155,1.0000131393111527,1.013382621034083,101.3382621034083,256.12847227603197,956.0981042683122,13.194080657257492,25.369373002771546,1613.0241937935352,4279.561973083763,1000.0,100.0,46,95.83333333333333,0.9711583451576629,94.58237796318107,1.6842595301568504,0.0,0.0,0.0,6.0,0.06216884493111974,0.0,16,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:43:51+00:00
seq16,poisson,1.0,1,48,48,0,1032.0,90.0,47.0,47.77699403092265,1.0000114646727,1.0046676433626822,90.42008790264141,102.44936961680651,676.3966939412055,12.275511458043068,20.172812596128118,1215.5132358893752,3518.365288432686,1000.0,100.0,48,100.0,1.0046676433626822,90.42008790264141,1.7970472574234009,0.0,0.0,0.0,5.0,0.03108442246555987,0.0,16,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:44:40+00:00
seq16,poisson,2.0,0,48,48,0,1493.3333333333333,100.0,23.5,25.333673087880015,2.0000157340062463,1.8947114314411784,189.47114314411783,286.82243824005127,1150.3213718533516,19.16930262243525,39.240170276734624,2074.9126337468624,6555.875910818576,1000.0,100.0,42,87.5,1.657872502511031,164.20832405823546,1.607409119606018,0.01293103448275862,0.0,1.0,13.0,0.07806428823737199,0.0,16,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:45:06+00:00
seq16,poisson,2.0,1,48,48,0,1032.0,90.0,23.5,24.2924408596009,2.000042434176132,1.975923303772472,177.83309733952248,216.54742024838924,812.7714548259974,14.658089434306483,27.96853068721136,1504.3306611478329,4545.54335111752,1000.0,100.0,47,97.91666666666667,1.9347582349438788,167.29483971940263,1.5893593430519095,0.009009009009009009,0.0,1.0,12.0,0.06340515718827267,0.0,16,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:45:32+00:00
seq16,poisson,3.0,0,48,48,0,1493.3333333333333,100.0,15.666666666666666,18.99086100794375,3.000026753252332,2.5275315310833943,252.75315310833943,589.9972217157483,1400.4128955304623,28.757276632505995,55.29128823222384,2915.369689464569,8292.385711055249,1000.0,100.0,36,75.0,1.8956486483125459,187.03733330017118,1.1443389579653738,0.21839080459770116,2.0,3.0,16.0,0.11132697515601087,0.0,16,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:45:52+00:00
seq16,poisson,3.0,1,48,48,0,1032.0,90.0,15.666666666666666,16.54510848224163,3.0001114111630263,2.901159581487173,261.10436233384553,280.37245105952024,915.400198008865,17.87858870376798,38.51406855968235,1947.3515823483467,5263.168582320213,1000.0,100.0,47,97.91666666666667,2.8407187568728567,245.63151123258064,1.4311870560050006,0.039735099337748346,0.0,1.0,16.0,0.07959496055575177,0.0,16,0.9,True,Qwen/Qwen2.5-1.5B,NVIDIA GeForce RTX 3060,0.10.2,2.8.0+cu128,2026-09-03T09:46:09+00:00
